Asset_Sub_Type,Elements
Information Board,Fixings
Information Board,Foundation
Information Board,Frame
Information Board,Solar Panel
Information Board,Wind Turbine
Inspection Chamber,Access Strip
Inspection Chamber,Cable and Pipe Management
Inspection Chamber,Cover or Hatch
Inspection Chamber,Drainage System
Inspection Chamber,Equipment Mounting Board
Inspection Chamber,Fastenings
Inspection Chamber,Fixings
Inspection Chamber,Floor
Inspection Chamber,Frame
Inspection Chamber,Hoist
Inspection Chamber,Internal Features
Inspection Chamber,Ladder
Inspection Chamber,Padlock or Lock
Inspection Chamber,Shaft
Inspection Chamber,Structural Steelwork
Inspection Chamber,Substructure
Inspection Chamber,Treads and Risers
Instrumentation,Battery Charger
Instrumentation,Cable and Pipe Management
Instrumentation,Civils
Instrumentation,Control Equipment
Instrumentation,Data Logger
Instrumentation,Datum Plates and Markers
Instrumentation,Display
Instrumentation,Equipment Housing
Instrumentation,Fastenings
Instrumentation,Fixings
Instrumentation,Interface Module
Instrumentation,Measurement Scale
Instrumentation,Padlock or Lock
Instrumentation,Sensor
Instrumentation,Signal Conditioner
Instrumentation,Signal Splitter
Instrumentation,Stilling Tube
Instrumentation,Storage Rain Gauge
Instrumentation,Treads and Risers
Jetty,Access Point
Jetty,Access Strip
Jetty,Beams
Jetty,Bearing Piling
Jetty,Core
Jetty,Datum Plates and Markers
Jetty,Deck
Jetty,Exposed Face
Jetty,Exposed Toe
Jetty,External Features
Jetty,Fastenings
Jetty,Ladder
Jetty,Mast
Jetty,Mooring Point
Jetty,Navigation Light
Jetty,Padlock or Lock
Jetty,Piling
Jetty,Pillar
Jetty,Post
Jetty,Retaining Wall
Jetty,Service Pedestal
Jetty,Sheet Piling
Jetty,Substructure
Jetty,Treads and Risers
Jetty,Water Point
Lab Building,Access Strip
Lab Building,Alternator
Lab Building,Beams
Lab Building,Cable and Pipe Management
Lab Building,Ceiling
Lab Building,Civils
Lab Building,Climate Control
Lab Building,Distribution Board
Lab Building,Distribution Network Operator Feeder
Lab Building,Doors and Windows
Lab Building,Drainage System
Lab Building,Electrical System
Lab Building,Electricity Meter
Lab Building,Electricity Sub Meter
Lab Building,Equipment Mounting Board
Lab Building,External Features
Lab Building,External Walls
Lab Building,Fastenings
Lab Building,Fire Protection
Lab Building,Fixed Fall Arrest System
Lab Building,Fixings
Lab Building,Floor
Lab Building,Foundation
Lab Building,Frame
Lab Building,Fuel Cell
Lab Building,Gantry
Lab Building,Gas System
Lab Building,Grassed Elements
Lab Building,Habitat Enhancement
